Timestamp,Flow Duration,Protocol,Src IP,Dst IP,Src Port,Dst Port,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Label
28/02/2018 14:00:00,1060126,6,192.168.1.42,10.0.0.5,62002,443,5,5,450,4220,Benign
28/02/2018 14:00:02,249464,6,192.168.1.25,10.0.0.5,64966,443,7,0,1995,0,Benign
28/02/2018 14:00:04,2783416,6,192.168.1.21,10.0.0.5,56283,443,3,9,1170,6489,Benign
28/02/2018 14:00:06,1326491,6,192.168.1.22,10.0.0.5,13391,443,2,5,398,4700,Benign
28/02/2018 14:00:08,21283,6,192.168.1.21,10.0.0.5,16279,443,4,0,356,0,Benign
28/02/2018 14:00:10,1000871,6,192.168.1.45,10.0.0.5,16154,443,5,6,705,1254,Benign
28/02/2018 14:00:12,385452,6,192.168.1.12,10.0.0.5,10963,443,6,4,942,2572,Benign
28/02/2018 14:00:14,2882413,6,192.168.1.13,10.0.0.5,22318,443,1,5,91,1905,Benign
28/02/2018 14:00:16,1697815,6,192.168.1.17,10.0.0.5,30606,443,4,7,1316,5089,Benign
28/02/2018 14:00:18,11011062,6,192.168.1.35,10.0.0.5,58587,443,1,5,241,1825,Benign
28/02/2018 14:00:20,4905698,6,192.168.1.18,10.0.0.5,36758,443,6,9,672,3447,Benign
28/02/2018 14:00:22,2132989,6,192.168.1.35,10.0.0.5,6238,443,8,9,3608,8964,Benign
28/02/2018 14:00:24,233506,6,192.168.1.31,10.0.0.5,42282,443,4,9,524,7164,Benign
28/02/2018 14:00:26,2834721,6,192.168.1.36,10.0.0.5,28456,443,8,4,616,1076,Benign
28/02/2018 14:00:28,458233,6,192.168.1.21,10.0.0.5,3431,443,6,6,966,2790,Benign
28/02/2018 14:00:30,2354170,6,192.168.1.21,10.0.0.5,8290,443,6,1,306,374,Benign
28/02/2018 14:00:32,711806,6,192.168.1.43,10.0.0.5,17072,443,6,7,324,2016,Benign
28/02/2018 14:00:34,4293352,6,192.168.1.20,10.0.0.5,30757,443,9,3,1431,1650,Benign
28/02/2018 14:00:36,2359195,6,192.168.1.38,10.0.0.5,58170,443,4,2,1932,1906,Benign
28/02/2018 14:00:38,793985,6,192.168.1.10,10.0.0.5,53831,443,3,0,840,0,Benign
28/02/2018 14:00:40,2161106,6,192.168.1.23,10.0.0.5,4758,443,3,8,1164,4576,Benign
28/02/2018 14:00:42,3114899,6,192.168.1.23,10.0.0.5,46821,443,9,9,1791,6273,Benign
28/02/2018 14:00:44,197560,6,192.168.1.40,10.0.0.5,37073,443,7,8,1330,5864,Benign
28/02/2018 14:00:46,4775777,6,192.168.1.48,10.0.0.5,56363,443,5,1,1320,808,Benign
28/02/2018 14:00:48,319894,6,192.168.1.32,10.0.0.5,14157,443,1,3,474,1668,Benign
28/02/2018 14:00:50,1735863,6,192.168.1.42,10.0.0.5,50572,443,7,9,1176,585,Benign
28/02/2018 14:00:52,3915858,6,192.168.1.41,10.0.0.5,20956,443,5,3,1325,2292,Benign
28/02/2018 14:00:54,5114104,6,192.168.1.45,10.0.0.5,37911,443,1,5,161,3845,Benign
28/02/2018 14:00:56,2216269,6,192.168.1.40,10.0.0.5,14782,443,1,0,50,0,Benign
28/02/2018 14:00:58,1409664,6,192.168.1.20,10.0.0.5,42306,443,4,8,1632,3968,Benign
28/02/2018 14:01:00,3861680,6,192.168.1.22,10.0.0.5,50842,443,6,1,1452,100,Benign
28/02/2018 14:01:02,1955011,6,192.168.1.40,10.0.0.5,38558,443,1,8,239,4640,Benign
28/02/2018 14:01:04,4667580,6,192.168.1.27,10.0.0.5,46108,443,9,5,450,4845,Benign
28/02/2018 14:01:06,6100787,6,192.168.1.20,10.0.0.5,36879,443,2,8,902,5656,Benign
28/02/2018 14:01:08,1515472,6,192.168.1.14,10.0.0.5,33513,443,7,8,2646,5408,Benign
28/02/2018 14:01:10,2472207,6,192.168.1.16,10.0.0.5,35354,443,1,3,228,690,Benign
28/02/2018 14:01:12,144431,6,192.168.1.39,10.0.0.5,25052,443,8,9,1488,7110,Benign
28/02/2018 14:01:14,853894,6,192.168.1.47,10.0.0.5,55268,443,9,0,3240,0,Benign
28/02/2018 14:01:16,618388,6,192.168.1.44,10.0.0.5,39337,443,8,8,2344,4632,Benign
28/02/2018 14:01:18,112845,6,192.168.1.34,10.0.0.5,43608,443,1,5,397,3820,Benign
28/02/2018 14:01:20,325414,6,192.168.1.44,10.0.0.5,10844,443,6,9,1842,6804,Benign
28/02/2018 14:01:22,4280744,6,192.168.1.49,10.0.0.5,15268,443,5,6,1285,4374,Benign
28/02/2018 14:01:24,6458633,6,192.168.1.47,10.0.0.5,15856,443,8,1,3056,312,Benign
28/02/2018 14:01:26,1728296,6,192.168.1.39,10.0.0.5,13192,443,9,0,2772,0,Benign
28/02/2018 14:01:28,1804465,6,192.168.1.45,10.0.0.5,11726,443,8,4,3040,964,Benign
28/02/2018 14:01:30,4556218,6,192.168.1.18,10.0.0.5,41092,443,3,0,1431,0,Benign
28/02/2018 14:01:32,2964705,6,192.168.1.39,10.0.0.5,59700,443,5,1,2320,631,Benign
28/02/2018 14:01:34,3174252,6,192.168.1.23,10.0.0.5,43909,443,1,9,483,3222,Benign
28/02/2018 14:01:36,5911648,6,192.168.1.29,10.0.0.5,52068,443,3,6,843,5256,Benign
28/02/2018 14:01:38,3506326,6,192.168.1.31,10.0.0.5,22217,443,1,1,114,710,Benign
28/02/2018 14:01:40,5140122,6,192.168.1.14,10.0.0.5,25168,443,2,7,982,6923,Benign
28/02/2018 14:01:42,13487405,6,192.168.1.42,10.0.0.5,47715,443,3,9,636,8703,Benign
28/02/2018 14:01:44,2997794,6,192.168.1.11,10.0.0.5,18881,443,6,8,2730,6152,Benign
28/02/2018 14:01:46,1854671,6,192.168.1.36,10.0.0.5,9953,443,8,6,728,1422,Benign
28/02/2018 14:01:48,176138,6,192.168.1.24,10.0.0.5,22622,443,6,7,2070,4669,Benign
28/02/2018 14:01:50,6131939,6,192.168.1.18,10.0.0.5,55613,443,6,9,588,6687,Benign
28/02/2018 14:01:52,363011,6,192.168.1.23,10.0.0.5,45716,443,8,4,3160,2732,Benign
28/02/2018 14:01:54,1849319,6,192.168.1.21,10.0.0.5,34676,443,2,1,746,566,Benign
28/02/2018 14:01:56,1933581,6,192.168.1.47,10.0.0.5,38321,443,7,1,1610,695,Benign
28/02/2018 14:01:58,2734948,6,192.168.1.40,10.0.0.5,25299,443,3,6,420,5220,Benign
28/02/2018 14:02:00,7338286,6,192.168.1.48,10.0.0.5,30791,443,5,6,1280,5826,Benign
28/02/2018 14:02:02,2302122,6,192.168.1.35,10.0.0.5,39987,443,1,6,311,5514,Benign
28/02/2018 14:02:04,337875,6,192.168.1.45,10.0.0.5,1158,443,5,6,1825,312,Benign
28/02/2018 14:02:06,491276,6,192.168.1.20,10.0.0.5,4275,443,8,5,2976,3705,Benign
28/02/2018 14:02:08,11937557,6,192.168.1.17,10.0.0.5,10984,443,3,2,471,776,Benign
28/02/2018 14:02:10,663580,6,192.168.1.22,10.0.0.5,16819,443,3,5,1248,890,Benign
28/02/2018 14:02:12,10357067,6,192.168.1.40,10.0.0.5,26226,443,2,8,452,1360,Benign
28/02/2018 14:02:14,1951410,6,192.168.1.36,10.0.0.5,22166,443,7,3,1393,1587,Benign
28/02/2018 14:02:16,3915986,6,192.168.1.26,10.0.0.5,62373,443,3,0,579,0,Benign
28/02/2018 14:02:18,4508563,6,192.168.1.14,10.0.0.5,48097,443,7,4,1596,2452,Benign
28/02/2018 14:02:20,4187882,6,192.168.1.14,10.0.0.5,33198,443,8,2,3680,1940,Benign
28/02/2018 14:02:22,2904714,6,192.168.1.37,10.0.0.5,3494,443,2,0,640,0,Benign
28/02/2018 14:02:24,1692872,6,192.168.1.39,10.0.0.5,42427,443,9,1,1998,105,Benign
28/02/2018 14:02:26,4224378,6,192.168.1.39,10.0.0.5,56002,443,8,1,1192,911,Benign
28/02/2018 14:02:28,7673908,6,192.168.1.10,10.0.0.5,62845,443,2,8,356,6896,Benign
28/02/2018 14:02:30,5867943,6,192.168.1.24,10.0.0.5,17921,443,2,3,146,2184,Benign
28/02/2018 14:02:32,1192510,6,192.168.1.26,10.0.0.5,63085,443,6,4,1284,3940,Benign
28/02/2018 14:02:34,1008519,6,192.168.1.37,10.0.0.5,11653,443,2,7,892,3885,Benign
28/02/2018 14:02:36,3231072,6,192.168.1.21,10.0.0.5,47522,443,5,7,1500,6937,Benign
28/02/2018 14:02:38,562431,6,192.168.1.22,10.0.0.5,40931,443,9,2,522,134,Benign
28/02/2018 14:02:40,275425,6,192.168.1.13,10.0.0.5,3151,443,3,7,804,5649,Benign
28/02/2018 14:02:42,742447,6,192.168.1.20,10.0.0.5,46903,443,4,9,596,1674,Benign
28/02/2018 14:02:44,12387444,6,192.168.1.24,10.0.0.5,4987,443,6,6,1752,1014,Benign
28/02/2018 14:02:46,440266,6,192.168.1.45,10.0.0.5,63580,443,9,6,3960,1998,Benign
28/02/2018 14:02:48,4292663,6,192.168.1.28,10.0.0.5,1382,443,3,2,918,332,Benign
28/02/2018 14:02:50,1285918,6,192.168.1.15,10.0.0.5,6179,443,3,3,699,222,Benign
28/02/2018 14:02:52,3599879,6,192.168.1.45,10.0.0.5,55932,443,9,1,2718,546,Benign
28/02/2018 14:02:54,11904,6,192.168.1.11,10.0.0.5,5666,443,6,0,426,0,Benign
28/02/2018 14:02:56,1614348,6,192.168.1.16,10.0.0.5,42450,443,7,0,1050,0,Benign
28/02/2018 14:02:58,187093,6,192.168.1.27,10.0.0.5,21141,443,1,7,351,5495,Benign
28/02/2018 14:03:00,564388,6,192.168.1.38,10.0.0.5,35382,443,6,4,948,2260,Benign
28/02/2018 14:03:02,3864860,6,192.168.1.34,10.0.0.5,2334,443,4,1,1384,227,Benign
28/02/2018 14:03:04,9111220,6,192.168.1.43,10.0.0.5,31706,443,4,0,1720,0,Benign
28/02/2018 14:03:06,1946678,6,192.168.1.29,10.0.0.5,17129,443,3,3,834,1380,Benign
28/02/2018 14:03:08,855911,6,192.168.1.21,10.0.0.5,31200,443,8,6,3432,3168,Benign
28/02/2018 14:03:10,112323,6,192.168.1.15,10.0.0.5,14614,443,4,9,892,4968,Benign
28/02/2018 14:03:12,2412965,6,192.168.1.24,10.0.0.5,56396,443,1,1,342,508,Benign
28/02/2018 14:03:14,1695660,6,192.168.1.31,10.0.0.5,53701,443,2,9,172,711,Benign
28/02/2018 14:03:16,6570344,6,192.168.1.18,10.0.0.5,44082,443,5,2,1920,946,Benign
28/02/2018 14:03:18,511436,6,192.168.1.16,10.0.0.5,19404,443,2,0,994,0,Benign
28/02/2018 14:03:20,831593,6,192.168.1.24,10.0.0.5,41500,443,5,8,555,7240,Benign
28/02/2018 14:03:22,88837,6,192.168.1.41,10.0.0.5,57213,443,6,6,2886,1902,Benign
28/02/2018 14:03:24,3402894,6,192.168.1.47,10.0.0.5,50640,443,4,5,1820,4720,Benign
28/02/2018 14:03:26,1420860,6,192.168.1.14,10.0.0.5,49071,443,5,7,250,4914,Benign
28/02/2018 14:03:28,1650181,6,192.168.1.13,10.0.0.5,42967,443,9,4,3537,2304,Benign
28/02/2018 14:03:30,332769,6,192.168.1.16,10.0.0.5,4499,443,6,3,2088,456,Benign
28/02/2018 14:03:32,1162620,6,192.168.1.24,10.0.0.5,58115,443,1,6,362,864,Benign
28/02/2018 14:03:34,3026134,6,192.168.1.18,10.0.0.5,33162,443,5,1,2005,464,Benign
28/02/2018 14:03:36,1637182,6,192.168.1.49,10.0.0.5,38368,443,1,6,85,1308,Benign
28/02/2018 14:03:38,5126786,6,192.168.1.24,10.0.0.5,24450,443,2,4,924,520,Benign
